"","cbsa","MSA","state","pop_percent_change20_21","normalized_pop2021","popestimate2021","median_income","avg_emp_YoY","median_rent2021","median_rent2022","house_price_2021"
"1","12060","Atlanta-Sandy Springs-Alpharetta","GA","0.698","1","6144050","77589","3.066","1101","1205","317200"
"2","16700","Charleston-North Charleston","SC","1.241","0.0550090918405296","813052","72719","2.376","1091","1295","375200"
"3","16740","Charlotte-Concord-Gastonia","NC-SC","1.162","0.389681354831368","2701046","71041","2.616","1066","1080","354100"
"4","16860","Chattanooga","TN-GA","0.712","0.0115067000252778","567641","62385","2.961","683","775","255300"
"5","17820","Colorado Springs","CO","0.815","0.0461000098912985","762793","79014","1.3","867","956","432900"
"6","17900","Columbia","SC","0.893","0.0594757753590382","838250","58213","1.474","846","897","233200"
"7","19780","Des Moines-West Des Moines","IA","1.155","0.0383629936387251","719146","74208","1.303","645","698","258200"
"8","22180","Fayetteville","NC","0.807","0.00387497824091587","524588","55027","2.385","781","826","189800"
"9","22220","Fayetteville-Springdale-Rogers","AR","1.987","0.0102779100359809","560709","71767","1.712","618","699","271200"
"10","24860","Greenville-Anderson","SC","1.128","0.0776495296669823","940774","62265","2.159","793","853","279100"
"11","26620","Huntsville","AL","1.733","0","502728","76963","2.565","634","709","280400"
"12","26900","Indianapolis-Carmel-Anderson","IN","0.616","0.28788925716348","2126804","70224","3.449","722","721","260500"
"13","28940","Knoxville","TN","1.319","0.0692539798295506","893412","62592","2.853","669","770","279000"
"14","29460","Lakeland-Winter Haven","FL","3.223","0.044456246248663","753520","56379","4.76","853","900","270000"
"15","34820","Myrtle Beach-Conway-North Myrtle Beach","SC-NC","3.572","0.0012525432868395","509794","59073","3.386","778","941","294000"
"16","34980","Nashville-Davidson--Murfreesboro--Franklin","TN","0.851","0.267623085510808","2012476","72725","3.664","1078","1174","349500"
"17","35840","North Port-Sarasota-Bradenton","FL","2.635","0.0632887114048799","859760","70095","3.789","912","996","405000"
"18","36420","Oklahoma City","OK","0.897","0.166435987876601","1441647","61815","2.703","750","762","194200"
"19","37340","Palm Bay-Melbourne-Titusville","FL","1.398","0.020190302911268","616628","65333","3.381","804","866","305000"
"20","37860","Pensacola-Ferry Pass-Brent","FL","0.936","0.00242141824203618","516388","64877","2.72","833","908","281000"
"21","38940","Port St. Lucie","FL","2.724","0.000140569887696536","503521","63771","3.57","993","1053","332000"
"22","38860","Portland-South Portland","ME","0.863","0.00960147284625838","556893","","","","","418100"
"23","39580","Raleigh-Cary","NC","1.946","0.167634997612262","1448411","85303","2.346","1092","1117","392800"
"24","40060","Richmond","VA","0.629","0.145592469282909","1324062","74151","2.641","1069","1097","342800"
"25","41700","San Antonio-New Braunfels","TX","1.349","0.372086542835172","2601788","66775","2.349","818","882","291200"
"26","44060","Spokane-Spokane Valley","WA","1.045","0.0160845277046763","593466","65283","3.129","714","743","382100"
"27","49180","Winston-Salem","NC","0.744","0.0316787448048525","681438","57392","2.486","663","660","235600"
"28","12260","Augusta-Richmond County","GA-SC","0.684","0.0200671048381922","615933","56515","1.864","689","741",""
"29","32580","McAllen-Edinburg-Mission","TX","0.926","0.0669396286898709","880356","44818","2.637","606","672",""
